"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6"
"1","año","deseo","escribir","querer","conocer","perder"
"2","real","deber","querer","amar","obrar","carta"
"3","encargar","recibir","hablar","dios","nombrar","fechar"
"4","consejo","reconocer","tanto","salud","estudio","citar"
"5","caso","dar","materia","hermano","juan","diario"
"6","servir","dignar","venir","correr","idear","enviar"
"7","establecer","público","hallar","carta","ley","noticiar"
"8","orden","dejar","acaso","venir","hallar","referir"
"9","dar","seguro","pensar","salir","libro","extractar"
"10","informar","favor","tomar","esperar","historiar","papel"
"11","guardar","gracia","coser","llegar","derecho","fuerte"
"12","pedir","afecto","razón","volver","rey","moza"
"13","dirigir","estimar","verso","juntar","palabra","san"
"14","asunto","esperar","memoria","afectísimo","deber","archivar"
"15","necesario","señor","saber","dejar","dudar","copiar"
"16","obrar","vivir","bastar","escribir","autor","pág"
"17","remitir","quedar","opinión","ejército","padre","inventario"
"18","villa","sentir","conocer","corazón","entender","avisar"
"19","precisar","finar","amor","cortar","seguir","acevedo"
"20","presentar","pedir","creer","acabar","dar","escribir"
"21","mandar","personar","leer","amable","notar","leg"
"22","marinar","nombrar","hombre","amigo","formar","etcétera"
"23","instituto","ofrecer","antiguo","enemigo","poner","instituto"
"24","comunicar","esperanzar","pueblo","cuidar","llamar","venir"
"25","cumplir","tomar","asturias","caso","parecer","alud"
