"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8"
"1","decir","conocer","real","ver","decir","juntar","perder","hermano"
"2","gusto","obrar","consejo","servir","venir","carta","fechar","querer"
"3","poder","hallar","orden","deseo","escribir","cortar","carta","salud"
"4","verso","nombrar","año","año","querer","gobierno","citar","esperar"
"5","querer","historiar","hacer","dignar","volver","ejército","diario","cuidar"
"6","sentir","materia","establecer","afecto","pensar","escribir","referir","deseo"
"7","idear","ley","informar","guardar","dios","hombre","extractar","dar"
"8","obrar","poder","obrar","reconocer","hacer","llegar","fuerte","caso"
"9","amor","estudio","encargar","seguro","caso","amable","moza","hallar"
"10","parecer","antiguo","objeto","favor","salir","enemigo","enviar","dios"
